Sentyment;Tekst
negatywny;Twoja obojętność wobec mojej sytuacji bardzo mnie irytuje.
negatywny;Ten kurs online był bezwartościowy, niczego się nie nauczyłem.
negatywny;Czuję się zniechęcony i bez motywacji do działania.
negatywny;Współpraca z tym klientem to koszmar, same problemy.
negatywny;Ten hałas z budowy jest nie do zniesienia, doprowadza mnie do szału!
negatywny;Nie mam już wiary w lepsze jutro, wszystko stracone.
negatywny;Nie liczę na żadne pozytywne zmiany, to już koniec.
neutralny;Ten laptop ma standardowe parametry, nic specjalnego.
neutralny;Jego wypowiedź była rzeczowa, bez emocji.
neutralny;Ta informacja nie wzbudziła we mnie żadnych uczuć.
neutralny;To miasto jest typowe, bez większych atrakcji.
neutralny;Recenzje tej książki są średnie, ani dobre, ani złe.
neutralny;Wiatr jest umiarkowany, około 15 km/h, nic nadzwyczajnego.
neutralny;Jedzenie w tej knajpie jest poprawne, bez szału.
neutralny;Dzień w pracy minął rutynowo, bez niespodzianek.
neutralny;Prace nad projektem idą w standardowym tempie.
neutralny;Pogoda na jutro jest niepewna, może padać, może nie.
neutralny;Słucham audiobooka w tle, ale bez większego skupienia.
neutralny;Oglądam serial, ale nie wciąga mnie szczególnie.
neutralny;Chodzę na spacery regularnie, bez specjalnych ambicji.
neutralny;Praca z nowym zespołem idzie normalnie, bez komplikacji.
